Key,Value
330,"['Picture Books', 'Childrens', 'Fiction']"
332,"['Romance', 'Historical Romance', 'Regency']"
333,"['Realistic Fiction', 'Childrens', 'Middle Grade']"
337,"['Fiction', 'Classics', 'Historical Fiction']"
348,"['Science Fiction', 'Fiction', 'Time Travel']"
350,"['Science Fiction', 'Fiction', 'Classics']"
354,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy']"
357,"['Fiction', 'Fantasy', 'Science Fiction']"
359,"['Science Fiction', 'Fiction', 'Humor']"
362,"['Biography', 'Nonfiction', 'Humor']"
367,"['Science Fiction', 'Fiction', 'Humor']"
377,"['Science Fiction', 'Fiction', 'Humor']"
382,"['Plays', 'Read For School', 'Fantasy']"
385,"['Philosophy', 'Nonfiction', 'Essays']"
386,"['Memoir', 'Nonfiction', 'Biography']"
394,"['History', 'Nonfiction', 'Civil War']"
397,"['History', 'Nonfiction', 'Politics']"
399,"['Fiction', 'Literature', 'Novels']"
400,"['Fiction', 'Historical Fiction', 'Novels']"
403,"['Fiction', 'Novels', 'American']"
404,"['Fiction', 'Novels', 'American']"
406,"['Fiction', 'Contemporary', 'Novels']"
407,"['Fiction', 'Music', '20th Century']"
408,"['Fiction', 'Novels', 'American']"
409,"['Fiction', 'Historical Fiction', 'Literature']"
410,"['Fiction', 'Classics', 'Literature']"
411,"['Fiction', 'Classics', 'Literature']"
412,"['Fiction', 'Classics', 'Science Fiction']"
413,"['Fiction', 'Historical Fiction', 'Literature']"
414,"['Fiction', 'Literature', 'American']"
415,"['Fiction', 'Classics', 'Science Fiction']"
416,"['Fiction', 'Short Stories', 'Literature']"
418,"['Fiction', 'Classics', 'Novels']"
420,"['Nonfiction', 'Memoir', 'Biography']"
421,"['Nonfiction', 'Essays', 'Memoir']"
422,"['Fiction', 'Novels', 'Literary Fiction']"
423,"['Nonfiction', 'Memoir', 'Essays']"
424,"['Nonfiction', 'Essays', 'Memoir']"
425,"['Fiction', 'Politics', 'Historical Fiction']"
426,"['Nonfiction', 'Essays', 'Memoir']"
428,"['Fiction', 'Classics', 'Literary Fiction']"
431,"['Fiction', 'Mystery', 'American']"
432,"['Fiction', 'Mystery', 'American']"
434,"['Fiction', 'Mystery', 'American']"
435,"['Fiction', 'Mystery', 'American']"
446,"['Fiction', 'American', 'Contemporary']"
447,"['Fiction', 'American', 'Novels']"
453,"['Fiction', 'American', 'Literature']"
454,"['Fiction', 'Novels', 'American']"
456,"['Fiction', 'Novels', 'American']"
463,"['Nonfiction', 'Short Stories', 'Essays']"
477,"['History', 'Nonfiction', 'Politics']"
478,"['Nonfiction', 'Sociology', 'Politics']"
484,"['Poetry', 'Nonfiction', 'Anthologies']"
493,"['Biography', 'Science', 'Nonfiction']"
494,"['Biography', 'Nonfiction', 'Science']"
497,"['Biography', 'Science', 'History']"
498,"['Science', 'Technology', 'Biography']"
511,"['Romance', 'Sports', 'Sports Romance']"
515,"['Programming', 'Reference', 'Technology']"
523,"['Reference', 'Nonfiction', 'studied']"
524,"['Classics', 'Fiction', 'Young Adult']"
531,"['History', 'Nonfiction', 'Ancient History']"
537,"['Fiction', 'Mystery', 'Young Adult']"
538,"['Fiction', 'Mystery', 'Young Adult']"
539,"['Mystery', 'Fiction', 'Mystery Thriller']"
565,"['Design', 'Website Design', 'Reference']"
570,"['Nonfiction', 'Reference', 'Website Design']"
576,"['Music', 'Art', 'Nonfiction']"
597,"['Nonfiction', 'Music', 'Memoir']"
599,"['Nonfiction', 'Essays', 'Humor']"
619,"['Romance', 'Historical Romance', 'Historical']"
629,"['Philosophy', 'Fiction', 'Classics']"
639,"['Picture Books', 'Childrens', 'Fantasy']"
642,"['Philosophy', 'Buddhism', 'Zen']"
650,"['Design', 'Nonfiction', 'Art Design']"
655,"['Classics', 'Fiction', 'Short Stories']"
656,"['Classics', 'Fiction', 'Historical Fiction']"
658,"['Philosophy', 'Religion', 'Nonfiction']"
662,"['Fiction', 'Classics', 'Philosophy']"
664,"['Fiction', 'Classics', 'Philosophy']"
667,"['Fiction', 'Classics', 'Dystopia']"
668,"['Fiction', 'Classics', 'Philosophy']"
669,"['Philosophy', 'Economics', 'Nonfiction']"
670,"['Philosophy', 'Nonfiction', 'Biography']"
672,"['Nonfiction', 'Reference', 'How To']"
675,"['History', 'Nonfiction', 'Medieval']"
676,"['Poetry', 'Nonfiction', 'American']"
681,"['Health', 'Nonfiction', 'Self Help']"
685,"['Fiction', 'Sports', 'Baseball']"
698,"['Fiction', 'Adoption', 'Contemporary']"
700,"['Nonfiction', 'Sociology', 'Textbooks']"
702,"['History', 'Nonfiction', 'Politics']"
703,"['Fiction', 'Historical Fiction', 'Alternate History']"
707,"['Humor', 'Nonfiction', 'Comedy']"
759,"['Short Stories', 'Fiction', 'Magical Realism']"
763,"['Fiction', 'Classics', 'Magical Realism']"
764,"['Fiction', 'Classics', 'Magical Realism']"
765,"['Nonfiction', 'Biography', 'Memoir']"
766,"['Fiction', 'Classics', 'Literature']"
771,"['Science', 'Nonfiction', 'Physics']"
797,"['Travel', 'Nonfiction', 'Reference']"
815,"['Sports', 'Baseball', 'Nonfiction']"
816,"['Fiction', 'Science Fiction', 'Historical Fiction']"
821,"['Science Fiction', 'Fiction', 'Cyberpunk']"
822,"['Fiction', 'Historical Fiction', 'Science Fiction']"
823,"['Fiction', 'Historical Fiction', 'Science Fiction']"
824,"['Fiction', 'Science Fiction', 'Thriller']"
826,"['Fiction', 'Science Fiction', 'Humor']"
827,"['Science Fiction', 'Fiction', 'Cyberpunk']"
828,"['Science Fiction', 'Fiction', 'Thriller']"
829,"['Historical Fiction', 'Fiction', 'Fantasy']"
830,"['Science Fiction', 'Fiction', 'Cyberpunk']"
834,"['Nonfiction', 'Games', 'Sports']"
835,"['Nonfiction', 'Games', 'Sports']"
840,"['Design', 'Nonfiction', 'Business']"
841,"['Design', 'Nonfiction', 'Psychology']"
842,"['Design', 'Nonfiction', 'Business']"
848,"['Catholic', 'Nonfiction', 'Religion']"
864,"['Fiction', 'Classics', 'Fantasy']"
865,"['Fiction', 'Classics', 'Fantasy']"
868,"['Manga', 'Fantasy', 'Graphic Novels']"
869,"['Manga', 'Fantasy', 'Comics']"
870,"['Manga', 'Fantasy', 'Graphic Novels']"
871,"['Manga', 'Fantasy', 'Comics']"
872,"['Fiction', 'Classics', 'Fantasy']"
873,"['Manga', 'Fantasy', 'Graphic Novels']"
880,"['Historical Fiction', 'Fiction', 'Historical']"
888,"['Historical Fiction', 'Classics', 'Fiction']"
890,"['Classics', 'Fiction', 'School']"
900,"['Nonfiction', 'Psychology', 'Self Help']"
902,"['Mystery', 'Fiction', 'Young Adult']"
903,"['Fiction', 'Young Adult', 'Childrens']"
929,"['Fiction', 'Historical Fiction', 'Romance']"
930,"['Fiction', 'Historical Fiction', 'Romance']"
931,"['Fiction', 'Historical Fiction', 'Romance']"
933,"['Fiction', 'Historical Fiction', 'Romance']"
935,"['Nonfiction', 'Japan', 'Biography']"
941,"['Graphic Novels', 'Manga', 'Comics']"
960,"['Fiction', 'Mystery', 'Thriller']"
965,"['Fiction', 'Mystery', 'Thriller']"
966,"['Fiction', 'Mystery', 'Thriller']"
968,"['Fiction', 'Mystery', 'Thriller']"
969,"['Fiction', 'Mystery', 'Thriller']"
972,"['Fiction', 'Mystery', 'Thriller']"
975,"['Fiction', 'Thriller', 'Mystery']"
977,"['Fiction', 'Thriller', 'Mystery']"
980,"['Fiction', 'Thriller', 'Mystery']"
987,"['Mystery', 'Fiction', 'Mystery Thriller']"
998,"['Finance', 'Nonfiction', 'Business']"
1005,"['Business', 'Self Help', 'Nonfiction']"
1007,"['Business', 'Self Help', 'Nonfiction']"
1014,"['Programming', 'Reference', 'Software']"
1022,"['Queer', 'Gender', 'Nonfiction']"
1032,"['Business', 'Biography', 'Nonfiction']"
1052,"['Finance', 'Business', 'Nonfiction']"
1053,"['Finance', 'Business', 'Nonfiction']"
1059,"['Fiction', 'Thriller', 'Mystery']"
1067,"['History', 'Nonfiction', 'American History']"
1068,"['Plays', 'History', 'Drama']"
1073,"['History', 'Nonfiction', 'American History']"
1078,"['Classics', 'Fiction', 'Historical Fiction']"
1090,"['Christian', 'Nonfiction', 'Religion']"
1097,"['Nonfiction', 'Food', 'Health']"
1099,"['Nonfiction', 'Food', 'Health']"
1103,"['Historical Fiction', 'Fiction', 'China']"
1110,"['Fiction', 'Thriller', 'Mystery']"
1111,"['History', 'Biography', 'Nonfiction']"
1117,"['Fiction', 'Thriller', 'Mystery']"
1120,"['Health', 'Nonfiction', 'Fitness']"
1121,"['Nonfiction', 'Health', 'Fitness']"
1123,"['Cookbooks', 'Health', 'Nonfiction']"
1138,"['Business', 'Finance', 'Nonfiction']"
1164,"['Philosophy', 'Science', 'History']"
1167,"['Childrens', 'Fiction', 'Chapter Books']"
1169,"['Chick Lit', 'Fiction', 'Romance']"
1171,"['Nonfiction', 'Business', 'Finance']"
1191,"['Cookbooks', 'Cooking', 'Food']"
1192,"['Cookbooks', 'Cooking', 'Food']"
1193,"['Cookbooks', 'Cooking', 'Food']"
1198,"['Cookbooks', 'Cooking', 'Nonfiction']"
1202,"['Nonfiction', 'Economics', 'Business']"
1204,"['Nonfiction', 'Economics', 'Business']"
1206,"['Nonfiction', 'Economics', 'Business']"
1218,"['Thriller', 'Fiction', 'Mystery']"
1226,"['Fiction', 'Fantasy', 'Classics']"
1230,"['Fiction', 'Fantasy', 'Classics']"
1241,"['Fiction', 'Contemporary', 'Psychology']"
1243,"['Humor', 'Memoir', 'Comedy']"
1246,"['Leadership', 'Business', 'Nonfiction']"
1252,"['Leadership', 'Business', 'History']"
1255,"['Leadership', 'Business', 'Nonfiction']"
1265,"['Leadership', 'Biography', 'Nonfiction']"
1274,"['Nonfiction', 'Self Help', 'Psychology']"
1276,"['Self Help', 'Nonfiction', 'good']"
1281,"['Nonfiction', 'Self Help', 'Psychology']"
1290,"['Relationships', 'Self Help', 'Nonfiction']"
1295,"['Historical Fiction', 'Fiction', 'Fantasy']"
1301,"['Nonfiction', 'Sports', 'Baseball']"
1303,"['Nonfiction', 'Psychology', 'Self Help']"
1305,"['Historical Fiction', 'Fiction', 'War']"
1307,"['Fantasy', 'Fiction', 'Epic Fantasy']"
1312,"['Fantasy', 'Alternate History', 'Fiction']"
1317,"['Historical Fiction', 'Fiction', 'War']"
1318,"['Historical Fiction', 'Fiction', 'Historical']"
1319,"['Nonfiction', 'Writing', 'Self Help']"
1322,"['Military Fiction', 'War', 'History']"
1327,"['Philosophy', 'Classics', 'Nonfiction']"
1328,"['Philosophy', 'Classics', 'Nonfiction']"
1334,"['Nonfiction', 'History', 'Classics']"
1337,"['Philosophy', 'Religion', 'Nonfiction']"
1338,"['Philosophy', 'Nonfiction', 'Classics']"
1351,"['Philosophy', 'Politics', 'Classics']"
1354,"['Philosophy', 'Classics', 'Nonfiction']"
1362,"['History', 'Classics', 'Nonfiction']"
1363,"['History', 'Classics', 'Nonfiction']"
1364,"['History', 'Classics', 'Nonfiction']"
1365,"['History', 'Classics', 'Nonfiction']"
1366,"['History', 'Classics', 'Nonfiction']"
1367,"['History', 'Classics', 'Nonfiction']"
1369,"['History', 'Classics', 'Nonfiction']"
1371,"['Classics', 'Poetry', 'Fiction']"
1373,"['Classics', 'Poetry', 'Fiction']"
1374,"['Classics', 'Poetry', 'Fiction']"
1375,"['Classics', 'Fiction', 'Poetry']"
1376,"['Classics', 'Poetry', 'Fiction']"
1377,"['Classics', 'Poetry', 'Fiction']"
1378,"['Classics', 'Poetry', 'Fiction']"
1381,"['Classics', 'Fiction', 'Poetry']"
1382,"['Classics', 'Fiction', 'Poetry']"
1383,"['Classics', 'Fiction', 'Poetry']"
1384,"['Classics', 'Fiction', 'Poetry']"
1387,"['Classics', 'Fiction', 'Poetry']"
